"Site","Location","USDA_Species_Code","Sample_Barcode","Rep","Machine","Date","Mean_Tleaf","Mean_CiCa_lt_100umols","Mean_Ci_lt_100umols"
"Barrow","Wendyhouselake","ARFU2","2110","1","Bernie","20160718",4.81360113625,0.973098803,379.6428407
"Barrow","Wendyhouselake","ARFU2","2111","1","Bernie","20160718",4.379873514,0.965517634,376.602570525
"Barrow","Wendyhouselake","ARFU2","2112","1","Derek","20160718",4.8725667,1.029004249,401.45968926
"Barrow","Wendyhouselake","ARFU2","2113","1","Derek","20160718",4.805429268,1.01109983,394.60044328
"Barrow","Wendyhouselake","ARFU2","2114","1","Bernie","20160718",3.90963983533333,1.011719145,394.528317666667
"Barrow","Wendyhouselake","ARFU2","2115","1","Derek","20160718",4.7065423012,0.9655147782,376.65721748
"Barrow","Wendyhouselake","ARFU2","2116","1","Bernie","20160718",4.1740674975,0.9696676015,378.25224115
"Barrow","Wendyhouselake","ARFU2","2117","1","Derek","20160718",4.8234945298,1.0183246658,397.42193148
"Barrow","Wendyhouselake","ARFU2","2118","1","Bernie","20160718",3.75745385875,0.9745869145,380.1815479
"Barrow","Wendyhouselake","ARFU2","2185","1","Flash","20160720",4.851474285,1.00222939533333,390.8245358
"Barrow","Wendyhouselake","ARFU2","2187","1","Derek","20160720",4.8136371375,1.00079730475,390.530457325
"Barrow","wendyhouselakes","ARFU2","1981","1","Mariano","20160714",14.920542955,0.9657456185,376.888696475
"Barrow","wendyhouselakes","ARFU2","1982","1","Mariano","20160714",14.89635404,0.953855032,372.348987966667
"Barrow","wolfmanscrevasse","ARLA2","2175","1","Andy","20160720",4.9097390175,1.01402072275,395.697619625
"Barrow","wolfsredemptionpolygon","PEFR5","1993","1","Andy","20160716",14.9796128275,1.06307646975,414.823591075
"Barrow","wolfsredemptionpolygon","PEFR5","1994","1","Andy","20160716",14.947727204,1.0377536668,404.61581796
"Barrow","wolfsredemptionpolygon","PEFR5","1995","1","Andy","20160716",14.859251022,1.0294619916,401.61080548
"Barrow","wolfsredemptionpolygon","PEFR5","2041","1","Andy","20160716",15.01000476,0.9942235125,388.0972588
"Barrow","Yjunctionnorth","ARLA2","1844","1","Derek","20160711",14.86569729,0.9903079792,386.53398026
"Barrow","Yjunctionnorth","ARLA2","1873","1","Derek","20160711",14.87758732,0.991447437,386.9836361
"Barrow","Yjunctionnorth","ARLA2","1881","1","Derek","20160711",14.895919608,0.9753855004,380.54424558
"Barrow","zeeps","ERAN6","1818","1","Bernie","20160709",14.79542084,0.9557867782,372.6736772
"Barrow","zeeps","ERAN6","1819","1","Derek","20160709",14.810120202,1.0085916338,393.60719104
"Barrow","zeeps","ERAN6","1820","1","Andy","20160709",14.93127799,1.00495636125,392.072725125
"Barrow","zeeps","ERAN6","1821","1","Bernie","20160709",15.006238366,0.9979405834,389.4724869
"Barrow","Zeeps","PEFR5","1815","1","Bernie","20160708",21.607899856,0.994220619,388.2630432
"Barrow","Zeeps","PEFR5","1815","2","Bernie","20160708",21.399451255,0.9718593655,1943.936608
"Barrow","Zeeps","PEFR5","1816","1","Bernie","20160708",17.902919388,1.0307907822,402.67157636
"Barrow","Zeeps","PEFR5","1817","1","Bernie","20160708",17.244724658,1.0591704682,413.81545728
