"Site","Location","USDA_Species_Code","Sample_Barcode","Rep","Machine","Date","Area","Tair","Tleaf","deltaT","RH_R","RH_S","VpdA","VpdL","PARi","PARo","Press","Ci_Ca","CO2R","CO2S","Photo","Cond","Ci"
"Barrow","zeeps","ERAN6","1818","1","Bernie","20160709",2.099999905,15.36696434,14.86970425,2.16120593,53.09872818,56.96805573,0.726248148,0.698868516,2000.198608,214.9208679,100.7665787,0.659798328,398.1348877,390.0315552,13.08987499,0.167378642,257.3421681
"Barrow","zeeps","ERAN6","1818","1","Bernie","20160709",2.099999905,16.16950989,14.76982117,1.6304033,50.19617462,53.63904572,0.77440733,0.696785653,1499.440063,93.96363831,100.765007,0.665699577,397.6472473,390.1662292,12.08044809,0.156925535,259.7334936
"Barrow","zeeps","ERAN6","1818","1","Bernie","20160709",2.099999905,16.98206329,14.882514,1.367639768,47.29297638,50.62931824,0.833424146,0.715077137,1250.454834,93.43515778,100.763916,0.687880599,396.9321289,389.9899902,11.17027625,0.15596512,268.2665481
"Barrow","zeeps","ERAN6","1818","1","Bernie","20160709",2.099999905,17.28168869,14.83151627,1.095384036,46.15789413,49.32269287,0.854940277,0.716537589,1000.816956,91.69522858,100.7628708,0.689908913,396.7598572,390.1048889,10.70427669,0.150283439,269.1368399
"Barrow","zeeps","ERAN6","1818","1","Bernie","20160709",2.099999905,17.99379921,14.84550953,0.820988333,43.57649994,46.74913025,0.906258866,0.726504426,750.3051758,149.6209412,100.7605362,0.716275269,396.6725464,390.3701172,10.09681762,0.155602644,279.6124606
"Barrow","zeeps","ERAN6","1818","1","Bernie","20160709",2.099999905,16.35845375,14.72815895,0.442162637,48.02997971,50.97926331,0.820422981,0.729929229,500.0391846,114.4021225,100.7603607,0.69829936,395.6828918,390.1000671,8.964440337,0.129076552,272.4066272
"Barrow","zeeps","ERAN6","1818","1","Bernie","20160709",2.099999905,17.14784622,14.12588501,0.24236956,45.54325867,48.32887268,0.834182069,0.668805288,248.8516693,114.2271957,100.7532196,0.782164635,394.5301514,390.1600342,6.940970086,0.140260816,305.1693808
"Barrow","zeeps","ERAN6","1818","1","Bernie","20160709",2.099999905,17.13468361,14.77671909,0.108357733,45.82264709,48.77975464,0.862864778,0.73025542,200.2223969,243.3264618,100.7501297,0.789731403,393.7656555,389.67276,6.456351106,0.136079975,307.7368154
"Barrow","zeeps","ERAN6","1818","1","Bernie","20160709",2.099999905,16.14336586,14.81243992,0.0349091,49.21102142,51.66201782,0.813394486,0.739480438,149.7266998,217.1198425,100.7517395,0.828356415,392.4988708,389.9318542,3.991950386,0.103855857,323.0025527
"Barrow","zeeps","ERAN6","1818","1","Bernie","20160709",2.099999905,16.23059654,14.98082352,-0.025785331,49.65261459,52.00989151,0.816161603,0.74617218,99.78121185,143.1245422,100.7452393,0.879974358,391.8052979,390.0843506,2.588720087,0.099444278,343.264226
"Barrow","zeeps","ERAN6","1818","1","Bernie","20160709",2.099999905,15.66027069,14.8145895,-0.021001453,52.22077179,54.00461197,0.773463942,0.726814967,75.568367,108.6320496,100.7482834,0.923154449,390.4862366,389.6624451,1.167888207,0.074093465,359.7186198
"Barrow","zeeps","ERAN6","1818","1","Bernie","20160709",2.099999905,16.21749687,14.49954987,0.040110426,50.45877457,51.97653198,0.789601929,0.695349931,50.31697083,105.9838562,100.7590942,0.944024,390.4091187,389.8559875,0.740575607,0.068218864,368.0334086
"Barrow","zeeps","ERAN6","1818","1","Bernie","20160709",2.099999905,16.71582222,14.81330872,0.008057902,48.89255905,50.44009399,0.83412952,0.727605345,19.14334679,106.3532104,100.7566223,1.004439514,389.8043213,389.8484497,-0.266475268,0.068596847,391.5791873
"Barrow","zeeps","ERAN6","1818","1","Bernie","20160709",2.099999905,16.76447487,14.86883259,-0.013867909,48.90209198,50.42835617,0.837373037,0.730911058,0.631237805,113.9897232,100.7572556,1.02734157,389.8389893,390.1068115,-0.638096957,0.067543364,400.7729443
"Barrow","zeeps","ERAN6","1821","1","Bernie","20160709",2.099999905,12.51860428,15.23061466,2.013467377,70.64923096,74.01332855,0.51330257,0.658969683,2000.932007,139.7200165,100.7050323,0.531856555,398.5018005,389.9680786,13.89502176,0.126880338,207.407079
"Barrow","zeeps","ERAN6","1821","1","Bernie","20160709",2.099999905,12.50984764,14.88845539,1.408498878,70.63549042,74.02593994,0.495697973,0.621586096,1499.224243,133.5277405,100.7031555,0.574051234,398.2289734,389.9371033,13.48705768,0.135740838,223.8438754
